id,name,flavors,race,positive_effects,negative_effects,medical_uses,Rating,Description
1,Afpak,"['Earthy', 'Chemical', 'Pine', 'Spicy/Herbal']",hybrid,"['Relaxed', 'Hungry', 'Happy', 'Sleepy', 'Creative', 'Focused']",['Dizzy'],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']",4.2,"Afpak, named for its direct Afghani and Pakistani landrace heritage, is a beautiful indica-dominant hybrid with light green and deep bluish purple leaves. The taste and aroma are floral with a touch of lemon, making the inhale light and smooth. Its effects start in the stomach by activating the appetite. There is also a potent relaxation that starts in the head and face, and gradually sinks down into the body. Enjoy this strain if you’re suffering from stress, mild physical discomfort, or having difficulty eating.  "
2,African,"['Spicy/Herbal', 'Pungent', 'Earthy', 'Pepper']",sativa,"['Euphoric', 'Happy', 'Creative', 'Energetic', 'Talkative', 'Aroused', 'Tingly']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache']",3.9,"African refers to the indigenous varieties of cannabis (or landraces) that grow natively in this region of the world. Because of this region's latitude and climate, these native landrace strains tend to be sativa in structure and effect."
3,Afternoon Delight,"['Pepper', 'Flowery', 'Pine', 'Pungent', 'Citrus', 'Tropical']",hybrid,"['Relaxed', 'Hungry', 'Euphoric', 'Uplifted', 'Tingly', 'Talkative', 'Creative']","['Dizzy', 'Dry Mouth', 'Paranoid']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Cramps', 'Headache']",4.8,"Afternoon Delight, created by Colorado Seed Inc., is a difficult strain to track down. Noted for its small, dense nuggets and an aroma of pine and pungent terpenes, Afternoon Delight is described as an indica-dominant hybrid with a hazy aura that engulfs the mind and body. But indulge with caution, as this hybrid has also been known for its potency. "
4,Afwreck,"['Pine', 'Earthy', 'Flowery', 'Pungent']",hybrid,"['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Sleepy', 'Euphoric']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Pain', 'Stress', 'Headache', 'Fatigue', 'Headaches', 'Muscle Spasms']",4.2,Afwreck is a hybrid cross of Afghani and Trainwreck.  Strong sativa effects with immediate head-concentrated high.
5,Agent Orange,"['Citrus', 'Orange', 'Sweet', 'Earthy']",hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Nausea', 'Headache', 'Headaches']",4.2,"Don’t let the name scare you! The only herbicidal warfare Agent Orange will wage is between the excellence of this strain's flavors and uplifting effects. A well-balanced hybrid that combines the smooth Orange Velvet with the bold Jack the Ripper, Agent Orange will capture your senses. Wonderful smells of oranges and fresh-cut citrus fruit will entice you immediately, while the pigments of deep maroon and purple will make this bud stand out in a sea of green. The effects are uplifting and motivating, serving as a great mood enhancer if you are feeling lethargic or depressed."
6,Agent Tangie,"['Skunk', 'Pepper', 'Citrus', 'Orange']",hybrid,"['Euphoric', 'Happy', 'Creative', 'Uplifted', 'Focused']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Stress', 'Cramps', 'Fatigue', 'Eye Pressure']",4.5,"For those craving a cerebral buzz with a citrus kick, 3C Agent Tangie is perfect. The glittery colas are light green with a zesty, floral flavor. Its effects linger in the crown of the skull and disperse throughout the body in steady waves of invigoration. This strain may assist those suffering from perpetual procrastination, depression, and fatigue. "
8,Alaska,"['Earthy', 'Woody', 'Pungent', 'Pine']",sativa,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Focused', 'Sleepy']","['Dizzy', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headaches']",4.6,"Alaska, developed by Tikun Olam, is an Israeli strain comprised of 70% sativa genetics. With uplifting effects intended for daytime consumption, Alaska has been found to successfully treat an array of medical symptoms including inflammation, pain, nausea, insomnia, and gastrointestinal disorders. "
9,Alaska Thunder Grape,"['Grape', 'Pepper', 'Skunk', 'Strawberry']",hybrid,"['Relaxed', 'Euphoric', 'Creative', 'Tingly', 'Focused', 'Uplifted']",[],"['Pain', 'Stress', 'Eye Pressure']",5.0,"From Sonoma County comes Alaska Thunder Grape, a hybrid strain that balances genetics from Matanuska Thunder Fuck and Grape Ape. With floral flavors of lavender and hibiscus, Alaska Thunder Grape delivers heavy euphoric effects that promote rest and relaxation."
10,Alaskan Ice,"['Earthy', 'Pine', 'Minty', 'Sweet', 'Spicy/Herbal']",sativa,"['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted', 'Relaxed']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']",4.4,"Alaskan Ice by Green House Seeds is a powerful sativa that crosses a euphoric White Widow hybrid with the energizing buzz of Haze. Frostlike resin blankets the buds in a promise of soaring psychoactivity, anchored only by its moderate CBD content. The intensity of this 70% sativa strain is recommended for evening consumption and unproductive weekends. Alaskan Ice is a slight variant of Moby Dick, but poses a greater challenge to growers; cultivators with the expertise to raise Alaskan Ice will be rewarded with a highly potent harvest of sour, spicy buds following a 9 week flowering period. The high resin content of Alaskan Ice has made this strain a favorite among hash producers and patients with severe symptoms."
11,Alaskan Thunder Fuck,"['Earthy', 'Woody', 'Pine']",sativa,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']",4.4,"Alaskan Thunder Fuck (also referred to as ATF, Matanuska Thunder Fuck or Matanuska Tundra) is a legendary sativa-dominant strain originating in the Matanuska Valley area of Alaska.  According to the legend, it was originally a Northern California sativa crossed with a Russian ruderalis, but sometime in the late 70s it was crossed with Afghani genetics to make it heartier.  ATF usually presents large, beautifully frosted buds with incredibly strong odors of pine, lemon, menthol, and skunk.  Known for possessing a relaxing yet intensely euphoric high, it is also described as having a “creeper” effect as well as pronounced appetite enhancement."
12,Albert Walker,"['Earthy', 'Pine', 'Skunk', 'Mango', 'Blueberry']",hybrid,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Focused', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Muscle Spasms']",4.7,"Albert Walker is an indica-dominant hybrid with unknown origins, but is thought to have descended from Afghan Skunk and bred in the Pacific Northwest. Evidence of its lineage is found in its sour lemon and skunky smell and heavy full-body effects that can last for several hours. Albert Walker’s euphoric and relaxing qualities make it a go-to strain for patients treating depression and anxiety, and may also have benefits for chronic pain and appetite loss. This clone-only strain may come as a challenge for some growers as the plants tend to require frequent attention and maintenance. However, the high yields following its 8-week flowering cycle could be considered a satisfactory reward."
13,Alchemy,"['Cheese', 'Chemical', 'Sweet', 'Spicy/Herbal']",hybrid,"['Relaxed', 'Hungry', 'Uplifted', 'Tingly', 'Sleepy']",[],"['Insomnia', 'Stress', 'Fatigue', 'Headaches', 'Eye Pressure']",4.8,"Alchemy is a 50/50 hybrid cannabis strain that was conjured by combining Chemdawg and Querkle. This creation from TGA Genetics comes wreathed in purple fan leaves and lavender-tipped buds. With an aroma of sour grapes and earthy musk, Alchemy delivers a balance of relaxing body effects and engaged cerebral invigoration. Boasting high levels of THC, Alchemy is sure to restore both your mood and appetite."
14,Alf,"['Diesel', 'Pungent', 'Tropical']",hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Giggly']",['Dry Mouth'],"['Depression', 'Insomnia', 'Stress', 'Muscle Spasms']",5.0,"The indica-dominant hybrid Alf was created by crossing Animal Pie (an Animal Cookies and Cherry Pie hybrid) and Black Raven (White Fire Alien OG x ’09 Cookies) from The Captain’s Connection. With dessert-like notes of cookies and sour cherry, Alf’s aroma is as enticing as its purple crystal-coated buds. Patients seeking relief from pain, spasms, nausea, and appetite may want to give this relaxing hybrid a try."
16,Alien Abduction,"['Earthy', 'Nutty', 'Lemon', 'Sweet']",hybrid,"['Relaxed', 'Happy', 'Creative', 'Focused', 'Uplifted']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Lack of Appetite', 'Fatigue', 'Headaches']",3.8,"Alien Abduction is an OG Kush hybrid bred by So-Cal medical collective Ocean Grown Genetics, who crossed an Alien OG male with the Ether cut of Alien Dawg. These seeds have been highly sought after by growers, as they are known to have great germination rates and multiple excellent phenotypes, all of which are robust and vigorous plants. Most phenotypes exhibit typical OG Kush smells and flavors, and pack a high-THC punch that combines a potent head buzz with a strongly sedating body high. For many patients, Alien Abduction is a great appetite stimulant and sleep aid."
17,Alien Apparition,"['Berry', 'Blueberry', 'Citrus', 'Sweet', 'Pungent', 'Skunk']",hybrid,"['Hungry', 'Euphoric', 'Creative', 'Aroused', 'Energetic', 'Tingly']",['Dry Mouth'],"['Depression', 'Cramps', 'Fatigue', 'Headaches', 'Eye Pressure']",4.0,"Alien Apparition is a cleverly named cross from Franchise Genetics. This spectral anomaly is brought to the material sphere with the help of a Ghost/Natural Born Killer hybrid and Alien Technology. Known for its happy, relaxing qualities, Alien Apparition combines the OG Kush-like elements of Ghost OG and Alien Technology’s euphoric sedation to create a potent hybrid best suited to afternoon consumption. Enjoy this strain to enhance mood and subdue general aches and pains.   "
18,Alien Asshat,"['Citrus', 'Pungent', 'Lemon', 'Earthy']",hybrid,"['Euphoric', 'Happy', 'Creative', 'Energetic', 'Giggly', 'Relaxed']","['Dizzy', 'Dry Mouth']","['Depression', 'Pain', 'Stress', 'Nausea', 'Fatigue']",4.8,"Alien Asshat is a hybrid cannabis strain grown by Sky High Gardens in Washington. With a staggeringly high THC content, Alien Asshat launches you into the cosmos with a powerful euphoric blast. Its buds are a tangle of green calyxes and leaves wrapped in a constellation of shining crystal resin. If you’re new to cannabis, be sure to start small with this heavy-hitter."
19,Alien Bubba,"['Earthy', 'Ammonia', 'Diesel', 'Woody', 'Sweet']",indica,"['Relaxed', 'Euphoric', 'Sleepy', 'Focused', 'Giggly', 'Happy', 'Uplifted']","['Dizzy', 'Dry Mouth']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']",5.0,"Alien Bubba is the intergalactic cross of the renowned Bubba Kush and the heady space invader, Alien Kush. This two-fold Kush blend offers mellow sedation with a mental aura most would describe as introspective or meditative. Its bouquet is earthy and floral, and when combusted, Alien Bubba shows off a pungent tea and herbaceous grassiness that is smooth on the exhale. Enjoy this heady heavy-hitter close to the end of the day to maximize its sedative effects.   "
20,Alien Dawg,"['Earthy', 'Pungent', 'Spicy/Herbal', 'Woody']",indica,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Insomnia', 'Pain', 'Stress', 'Nausea', 'Fatigue']",4.3,"Descending from Northern California and Afghanistan genetics, Alien Dawg is a cross between Chemdawg and Alien Technology with a THC content of up to 20%. With a sour and pungent odor, Alien Dawg has a light, bitter taste and presents brilliant mind and body effects."
21,Alien Dutchess,"['Berry', 'Lemon', 'Sweet', 'Blueberry']",sativa,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']",[],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']",4.2,"Alien Dutchess by Cresco Labs brings together strong euphoria and deep relaxation to create a strain that is as potent as it is refined. Created by crossing Dutch Treat Haze and Alien OG, this strain exhibits a spicy, herbaceous aroma with hints of pine and lemon. The earthy and citrus notes shine through upon consumption. Alien Dutchess has been known to stimulate appetite and help abate nausea, headaches, and stress."
22,Alien Hallucination,"['Chemical', 'Diesel', 'Earthy', 'Sweet']",hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Giggly', 'Aroused', 'Hungry']",[],"['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Muscle Spasms']",4.1,"Alien Hallucination is a hybrid cannabis strain that is believed to be a cross between the sedating Tahoe Alien and LSD, a classic Amsterdam hybrid known for its trippy head buzz. Bred by Alien Genetics, this strain will abduct the mind while your body remains anchored in deep physical relaxation."
23,Alien Inferno,"['Pine', 'Diesel', 'Earthy']",hybrid,"['Euphoric', 'Happy', 'Creative', 'Energetic', 'Talkative', 'Uplifted']",[],"['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']",4.8,"Using a White Fire #6 and Alien OG hybrid and crossing it again with Diablo, LivWell created Alien Inferno. Rock solid buds slathered in trichomes and red pistils, Alien Inferno is a heavy-handed OG hybrid that can help relieve pain, boost creativity, and help you unwind. With the taste of earth, pine, and lemon, this potent indica-dominant hybrid will take care of even the most experienced connoisseur."
24,Alien Kush,"['Woody', 'Flowery', 'Earthy']",indica,"['Relaxed', 'Euphoric', 'Uplifted', 'Sleepy', 'Giggly', 'Happy', 'Tingly']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Headaches']",4.2,"Alien Kush is a potent cross of LVPK and Alien Dawg that originally hails from California, not deep space. It may have you feeling a little spacey, though, as this mostly indica hybrid touches down in the brain first, giving active, sometimes-psychedelic effects that are more traditionally sativa. The active buzz settles over time into a relaxing body buzz that will dissolve both stress and pain. Alien Kush plants have average yields, but they are hardy, easy-to-grow plants, indoors or out. The light green buds have a covering of red or orange hairs and should be airy. This strain has a piney smell, but the taste is a subtle spiciness that is reminiscent of tea."
26,Alien Reunion,"['Skunk', 'Diesel', 'Pungent', 'Cheese']",hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted', 'Talkative']",[],"['Pain', 'Lack of Appetite', 'Headaches', 'Inflammation', 'Muscle Spasms']",4.9,"Alien Reunion is an indica-dominant cross of Alien OG and Alien Dawg bred by Cannobi Genetics. Its dense colas emit a pungent mix of flavors that include sweet fruity tones of cherry and lemon combined with a skunky, diesel note. The relaxing effects of Alien Reunion calm the body while stimulating the mind with an energetic and creative rush that helps you stay productive without feeling sluggish."
27,Alien Rift,"['Earthy', 'Chemical', 'Citrus', 'Grape']",indica,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Creative', 'Uplifted']",['Dry Mouth'],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']",4.6,"Alien Rift by Ocean Grown Seeds is the thoroughly enhanced phenotype of Alien Abduction specifically backcrossed for better hash production. With a tart scent of lemon and spice and buds dense with trichomes, Alien Rift is certain to please the senses. This strain is the product of crossing Alien Abduction, Alien Dawg ('Ether' cut), and Alien OG. With that much extraterrestrial activity, you know this indica is out of this world! Use Alien Rift’s laidback effects to curb stress and moderate physical pain. "
